id,name,address,city,category,tags
b22c68cf-1d75-457c-96cb-dcb32da7712e,Allah Bakhash Sb (Latifa Abad),"Latif Abad, Bahawalnagar",Bahawalnagar,[],[]
79ddfb51-827b-48c5-b370-cd83a58b38ce,Allah Ditta (Okara),"Adda Chuchak, Okara",Okara,[],[]
3a41f74e-14a3-41fc-905d-3ddf1f5905d4,Allah Ditta (Warburton),"Head Office: 289 Abpara Society. Canal Road Near DHA EME, Lahore",Lahore,[],[]
40898e29-8b25-4043-8a89-cee44245437e,Haji Faiz Ahmed,"MacLeod Gunj, Bahawalnagar",Bahawalnagar,[],[]
80dd1cba-db4a-4856-92ac-722a4b856b9f,Khalid Store (Walton Road),"Arif Wala, Arifwala",Arifwala,[],[]
974e932f-9d2c-4b39-bc07-7b774b1e9a8d,Lyallpur Poly Industries,"Faisalabad, Faisalabad",Faisalabad,[],[]
3c61dcc1-cbd1-4594-9879-2b7ca831edfa,Al-Noor Commission Shop,"Gala Mandi, Lahore",Lahore,[],[]
408a2e7a-88b1-4c28-87d9-c8d1f79d3522,Anwaray Sidra Naan Shop & Malki Chanay (Manga),"Ghala Mandi Faqeer Wali, Bahawalnagar",Bahawalnagar,[],[]
23754594-2605-4a30-9b16-81e8f9f5158c,Bacha Khan Hotel (Chung),"Manga Mandi, Lahore",Lahore,[],[]
16b88b42-9f90-4117-8ff1-1eaa41757a3f,Bukhari Commission Shop,,Pattoki,[],[]
771fe071-7c7d-4cdc-9195-1f3bb593d2de,Friends Traders,,Lahore,[],[]
a812aae0-4823-4af3-868c-36fe1abf4898,Haji Imtiaz Bodla Commission Shop,"MacLeod Gunj, Bahawalnagar",Bahawalnagar,[],[]
fa2c1a2b-c483-45f3-92c5-0e24f18c9353,Imran Falak (Mcleod Ganj),"Mcleod Ganj, Bahawalnagar",Bahawalnagar,[],[]
cc525d4a-5b10-479b-a0e8-6919759f5472,Jamia Taleem Ul Quran (Talab Sarai),"Talab Sarai, Lahore",Lahore,[],[]
b47542f5-1b54-4bd1-a387-acdd178eea3b,Dr. Arsalan Mankera,,Bhakkar,[],[]
7768c50a-6f9c-418e-a624-a06de251580c,Ellahi Corporation,"Chishtian, Bahawalnagar",Bahawalnagar,[],[]
4a2fd5e6-afab-4172-805b-138784a26981,Ghulam Hussain Naan Shop (Johar Town),"Sunder Estate, Lahore, Lahore",Lahore,[],[]
9b59c432-8c51-4711-add6-e758552bafc3,Haji Shabir & Co,"Galla Mandi MacLeod Gunj, Bahawalnagar",Bahawalnagar,[],[]
24637f48-aff9-4615-8eb2-fa8dddc59fa8,Javaid & Co (Macleod Gunj),"Macleod Gunj, Bahawalnagar",Bahawalnagar,[],[]
694b1c49-614a-495f-928f-2c1ce8e477cb,Lahori Restaurant,,Lahore,[],[]
e71f9baf-f878-4b03-a43a-a737af2adeee,Al-Yaqoob Commission Shop (Sadiq Ganj),"Mandi Sadiq Ganj, Minchinabad",Minchinabad,[],[]
06e4b9f2-514a-4ff3-8020-1af567d2183b,Amanat Ali & Sons Commission Shop,"Ghalla Mandi Khudian Khas, Kasur",Kasur,[],[]
3769e41b-9c60-4886-9461-5e969cfbc8d3,Faisal Jabbar & Co,"MacLeod Gunj, Bahawalnagar",Bahawalnagar,[],[]
00fafcb9-56ec-4475-9dcd-6493f084c8a7,Goss Commission Shop,,Nankana Sahib,[],[]
ee72dd0b-2a9c-4acd-9b20-433e6a327c96,GOVT Wheat (Lahore),"Lahore, Lahore",Lahore,[],[]
2f16462b-aa4d-49ee-a9ec-eab4a0f517ed,Hamza Trader (Chowk Azam),"Chowk Azam, Lahore",Lahore,[],[]
463319c7-73f2-4cab-8cfb-09d5445464cd,HSA (Pvt.) Ltd. (Leather Division),,Lahore,[],[]
9e73bcf7-73f5-4be4-9aae-ddf01a991972,Nasrullah Lalyani Kasur,"Lalyani, Kasur",Kasur,[],[]
8dc8a425-1301-4f6d-8a6c-ccca858606d3,Nisar Commision Shop,"MacLeod Gunj, Bahawalnagar",Bahawalnagar,[],[]
96bdd17d-e2c7-4081-b5f4-cc9826bb78f4,Pakistan Commission Shop,", Bahawalnagar",Bahawalnagar,[],[]
a7c10a2d-24cd-4acc-85bf-9b31bbd3ebb0,Qadria Commission Shop (Manga),"Manga, Lahore",Lahore,[],[]
c669ed01-9c99-4675-af62-676cf54a7861,Qari Ameen Broker (Chowk Azam),"Chowk Azam, Layyah",Layyah,[],[]
42e4e0a2-1032-469e-80f7-dfec5d41b575,Rehmani Commision Shop,"MacLeod Gunj, Bahawalnagar",Bahawalnagar,[],[]
1c424988-7573-4cae-8b54-44176a032681,Sami Ul Haq (Minchinabad),"Minchinabad, Bahawalnagar",Bahawalnagar,[],[]
b2870852-b36e-4a96-8048-b6adeb597deb,Abdullah Commission Shop,"MacLeod Gunj, Bahawalnagar",Bahawalnagar,[],[]
1f873359-c7e2-4729-b269-76d009d26ec6,Adnan Muhmmad (Sundar Industrial Estate),"Sundar Industrial Estate, Lahore",Lahore,[],[]
4b258052-1399-4244-a36b-e087424e0980,Allah Ditta Atta Dealer (Raiwind),"Raiwind, Lahore",Lahore,[],[]
2e69bee6-0a5e-4633-9868-0caa1e2b1626,Anees Khaliq & Co,"Rosa, Lahore",Lahore,[],[]
a84bde39-f20e-4d72-83ff-a7e13653e474,Arif (Talab Sarai),"Hospital Road Manga Mandi, Lahore",Lahore,[],[]
48e6f85d-37e1-4d61-99a9-d46bdae6e031,Babar Jameel (Manga),"5 Girayen Mor, Lahore",Lahore,[],[]
c33af545-a022-4ad0-8185-d5e2727ca60d,Hafiz Bilal & Co (Layyah),"Manga Mandi, Lahore",Lahore,[],[]
26ffd993-bc48-446b-b10d-40138f5d3c60,Itfaq Commission Shop (Arif Wala),"Shamkey Bhatti an, Lahore",Lahore,[],[]
831be7e0-3cb9-492d-9bc6-2df6548e5db2,Ghousia Trader (Pattoki),"Walton, Lahore",Lahore,[],[]
3493427d-c901-4415-b6ee-e7d0316f9480,"CFM,Govt Center","Thokhar Niaz Baig, Lahore",Lahore,[],[]
1a55ee25-bc28-404c-9b3e-744d00cd23d6,Govt Food Department (Lahore),"Johar Town, Lahore",Lahore,[],[]
40b86abb-01a3-47cd-9495-e5292ce988a4,K&NS Food Center (Lahore),"25 F Main Boulevard, Block F Phase 1 Johar Town, Lahore",Lahore,[],[]
41c93e07-6260-435c-b263-8df47880b5b6,Muhammad Irfan (Safdar Abad),"Manga Mandi, Lahore",Lahore,[],[]
8c766b25-11f6-4679-9612-449c89097f9b,Zeeshan Liaqat,"Manga Mandi, Lahore",Lahore,[],[]
fbe81db5-cfc5-4e8c-a51f-4742fbc59426,Aslam Commission Shop (Shanga Manga),"Raiwind, Lahore",Lahore,[],[]
